# Wiles - Salmonberry Knoll - TSME - ITRDB AK225
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44492
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44492.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak225-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak225.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak225.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2026-03-03
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-03
#--------------------
# Title
#   Study_Name: Wiles - Salmonberry Knoll - TSME - ITRDB AK225
#--------------------
# Investigators
#   Investigators: Wiles, G.; Wiesenberg, N.; Happ, M.; Starr, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Salmonberry Knoll
#   Location: Alaska
#   Northernmost_Latitude: 61.012
#   Southernmost_Latitude: 61.012
#   Easternmost_Longitude: -147.128
#   Westernmost_Longitude: -147.128
#   Elevation_m: 325
#--------------------
# Data_Collection
#   Collection_Name: AK225
#   First_Year: 1609
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Tsuga mertensiana (Bong.) Carrière
#   Common_Name: mountain hemlock
#   Tree_Species_Code: TSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SK02NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK02NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SK02NW_raw	SK03_raw	SK04B_raw	SK05_raw	SK07A_raw	SK08_raw	SK10B_raw	SK11_raw	SK12A_raw	SK14B_raw	SK15A_raw	SK16B_raw
1805	0.525	0.948	0.653	NA	NA	1.01	NA	NA	1.592	1.475	0.726	NA
1806	0.468	0.922	0.479	NA	NA	0.459	NA	NA	0.847	0.899	0.321	NA
1807	0.548	0.823	0.435	NA	NA	0.326	NA	NA	1.082	0.868	0.361	NA
1808	0.508	0.771	0.584	NA	NA	0.702	NA	NA	0.802	1.175	0.562	NA
1809	0.358	0.614	0.434	NA	NA	0.402	NA	NA	0.685	0.744	0.279	NA
1810	0.278	0.405	0.329	NA	NA	0.375	NA	NA	0.579	0.51	0.256	NA
1811	0.269	0.651	0.201	NA	NA	0.452	NA	NA	0.567	0.456	0.289	NA
1812	0.159	0.785	0.18	NA	NA	0.148	NA	NA	0.493	0.465	0.186	NA
1813	0.119	0.832	0.169	NA	NA	0.143	NA	NA	0.739	0.509	0.153	NA
1814	0.064	0.605	0.234	NA	NA	0.091	NA	NA	0.837	0.42	0.057	NA
1815	0.151	0.784	0.371	NA	NA	0.269	NA	NA	0.33	0.526	0.265	NA
1816	0.198	1.039	0.762	NA	NA	0.484	NA	NA	0.889	0.697	0.355	NA
1817	0.127	1.02	0.807	NA	NA	0.375	NA	NA	0.759	0.407	0.219	NA
1818	0.254	1.181	0.878	NA	0.757	0.485	NA	NA	0.771	0.537	0.169	NA
1819	0.198	0.894	0.54	NA	0.491	0.553	NA	NA	0.908	0.722	0.277	NA
1820	0.429	0.946	0.614	NA	0.746	0.684	NA	NA	0.996	0.913	0.285	0.666
1821	0.23	1.131	0.539	NA	0.696	0.516	NA	NA	0.952	0.915	0.313	1.113
1822	0.286	1.301	0.604	NA	1.013	0.644	NA	NA	1.253	1.057	0.331	0.571
1823	0.326	1.175	0.787	NA	0.491	0.757	NA	NA	1.165	0.832	0.508	0.655
1824	0.309	1.318	0.923	NA	0.78	0.835	NA	NA	1.465	0.818	0.485	0.836
1825	0.357	1.381	1.082	NA	1.598	0.787	NA	NA	1.446	0.958	0.596	1.01
1826	0.286	0.936	1.35	NA	1.404	0.564	NA	NA	1.133	0.881	0.34	1.818
1827	0.151	0.699	0.602	NA	1.126	0.474	NA	NA	1.532	0.874	0.333	0.847
1828	0.421	0.825	0.799	NA	1.164	0.654	NA	NA	1.603	0.805	0.472	0.761
1829	0.309	1.001	0.749	NA	1.074	0.772	NA	NA	1.441	0.91	0.553	0.691
1830	0.143	0.437	0.58	NA	0.469	0.654	NA	NA	0.838	0.496	0.309	0.474
1831	0.095	0.66	0.344	NA	0.397	0.398	NA	NA	0.214	0.188	0.293	0.188
1832	0.247	0.843	0.759	NA	0.373	0.597	NA	NA	0.528	0.502	0.406	0.325
1833	0.208	1.288	0.949	NA	0.576	0.53	NA	0.248	0.581	0.529	0.426	0.505
1834	0.182	1.132	0.822	NA	0.89	0.403	NA	0.532	0.935	1.04	0.421	0.423
1835	0.278	1.043	0.807	NA	1.165	0.423	NA	0.702	0.99	1.169	0.357	1.001
1836	0.238	0.898	0.689	NA	0.597	0.596	NA	0.28	0.738	0.874	0.356	0.696
1837	0.223	0.894	0.741	NA	1.025	0.426	NA	0.091	0.853	0.922	0.348	0.692
1838	0.532	1.098	0.995	NA	1.079	0.761	NA	0.407	1.592	1.045	0.778	0.938
1839	0.349	1.246	1.114	NA	1.108	0.452	NA	0.484	1.363	0.849	0.804	0.721
1840	0.24	0.953	0.932	NA	0.783	0.338	NA	0.46	1.611	0.845	0.708	0.686
1841	0.263	0.944	0.848	NA	0.738	0.597	NA	0.375	2.186	1.158	0.737	0.715
1842	0.247	0.66	0.613	NA	0.709	0.559	NA	0.567	0.975	0.806	0.538	0.494
1843	0.174	0.699	0.456	NA	0.726	0.616	NA	0.33	0.968	0.602	0.379	0.563
1844	0.304	0.405	0.539	NA	1.016	0.682	NA	0.455	1.126	0.968	0.512	0.949
1845	0.279	0.565	0.498	NA	0.878	0.757	NA	0.604	0.7	0.672	0.586	0.725
1846	0.311	0.659	0.465	NA	0.812	0.627	NA	0.35	0.463	0.37	0.62	0.585
1847	0.335	0.818	0.614	NA	0.791	0.626	NA	0.33	0.625	0.507	0.563	0.326
1848	0.262	0.907	0.646	NA	0.954	0.382	NA	0.499	0.547	0.648	0.437	0.225
1849	0.15	0.923	0.444	NA	0.954	0.368	NA	0.595	0.376	0.374	0.35	0.259
1850	0.215	0.627	0.414	NA	0.687	0.285	NA	0.224	0.314	0.308	0.264	0.362
1851	0.318	0.762	0.762	NA	0.643	0.252	NA	0.266	1.032	0.759	0.382	0.535
1852	0.398	0.802	1.124	NA	0.777	0.391	NA	0.616	1.368	1.12	0.52	0.742
1853	0.303	0.73	0.932	NA	0.957	0.603	NA	0.424	1.14	1.046	0.479	0.551
1854	0.198	0.857	0.647	NA	0.726	0.597	NA	0.188	1.193	0.809	0.389	0.409
1855	0.223	0.603	0.689	NA	0.603	0.588	NA	0.16	0.666	0.526	0.5	0.416
1856	0.167	0.746	0.497	NA	1.117	0.241	NA	0.075	0.399	0.385	0.302	0.473
1857	0.334	0.709	0.751	NA	1.011	0.618	NA	0.254	0.681	0.761	0.504	0.483
1858	0.334	0.934	0.741	NA	0.945	0.799	NA	0.265	0.657	0.726	0.535	0.619
1859	0.296	0.82	0.699	NA	0.886	0.568	NA	0.162	0.638	0.673	0.44	0.877
1860	0.326	0.916	0.836	NA	0.701	0.318	NA	0.043	0.519	0.574	0.305	0.809
1861	0.207	0.85	0.772	NA	0.48	0.386	NA	0.162	0.627	0.684	0.495	0.449
1862	0.096	0.35	0.615	NA	0.167	0.148	NA	0.106	0.314	0.237	0.244	0.241
1863	0.119	0.453	0.837	NA	0.336	0.138	NA	0.086	0.29	0.308	0.219	0.181
1864	0.215	0.628	1.138	NA	0.741	0.284	NA	0.087	0.54	0.549	0.382	0.286
1865	0.231	0.693	1.148	NA	0.692	0.356	NA	0.152	0.748	0.81	0.409	0.433
1866	0.43	0.668	0.986	NA	0.868	0.535	NA	0.247	0.894	0.881	0.583	0.561
1867	0.445	1.074	1.177	NA	1.04	0.564	NA	0.431	0.778	0.88	0.575	0.562
1868	0.231	0.885	1.189	NA	1.032	0.559	NA	0.36	0.82	0.815	0.45	0.523
1869	0.295	0.849	1.221	NA	1.024	0.474	NA	0.164	1.585	1.094	0.6	0.365
1870	0.517	0.725	1.227	NA	1.024	0.741	NA	0.437	2.042	1.298	0.801	0.521
1871	0.301	0.691	1.027	NA	1.008	0.55	NA	0.021	1.615	0.781	0.576	0.279
1872	0.604	0.967	1.495	NA	0.961	1.048	NA	0.355	2.416	1.232	1.129	0.517
1873	0.525	0.827	1.099	NA	0.777	1.071	NA	0.565	1.754	0.893	1.113	0.469
1874	0.216	0.631	0.725	NA	0.675	0.482	NA	0.688	0.61	0.379	0.565	0.171
1875	0.381	0.917	0.821	NA	1.064	0.596	NA	0.91	0.879	0.531	0.657	0.423
1876	0.127	0.345	0.428	NA	0.381	0.462	NA	0.648	0.347	0.274	0.286	0.103
1877	0.063	0.277	0.28	NA	0.405	0.262	NA	0.159	0.28	0.248	0.244	0.086
1878	0.184	0.486	0.526	NA	0.825	0.438	NA	0.116	0.496	0.474	0.356	0.148
1879	0.127	0.654	0.554	NA	0.818	0.422	NA	0.044	0.476	0.341	0.407	0.275
1880	0.135	0.6	0.644	NA	0.563	0.306	NA	0.063	0.411	0.337	0.245	0.291
1881	0.239	0.768	0.951	NA	0.611	0.491	NA	0.054	0.475	0.483	0.636	0.326
1882	0.199	0.928	0.905	NA	0.532	0.416	NA	0.117	0.54	0.523	0.509	0.297
1883	0.08	0.671	0.694	NA	0.405	0.134	NA	0.063	0.172	0.291	0.274	0.256
1884	0.27	0.958	1.115	NA	0.619	0.522	NA	0.129	0.54	0.655	0.693	0.604
1885	0.159	0.837	1.103	NA	0.588	0.482	NA	0.159	0.593	0.57	0.684	0.572
1886	0.321	0.816	0.786	NA	0.619	0.205	NA	0.244	0.378	0.313	0.35	0.455
1887	0.135	0.398	0.542	NA	0.46	0.22	NA	0.234	0.303	0.302	0.243	0.147
1888	0.184	0.692	0.647	NA	0.294	0.177	NA	0.244	0.28	0.338	0.258	0.196
1889	0.241	0.717	0.754	NA	0.373	0.321	NA	0.107	0.388	0.394	0.364	0.172
1890	0.175	0.807	0.679	NA	0.381	0.325	NA	0.234	0.377	0.37	0.284	0.232
1891	0.151	1.271	0.891	NA	0.436	0.298	NA	0.213	0.496	0.536	0.289	0.252
1892	0.374	1.366	1.17	NA	0.667	0.602	NA	0.33	1.025	1.1	0.512	0.408
1893	0.36	1.418	1.009	NA	0.841	0.58	NA	0.127	1.021	1.08	0.518	0.529
1894	0.176	0.682	0.594	NA	0.461	0.221	NA	0.223	0.604	0.45	0.231	0.199
1895	0.16	0.654	0.491	NA	0.246	0.12	NA	0.054	0.463	0.476	0.094	0.268
1896	0.27	0.652	0.532	NA	0.317	0.311	NA	0.138	0.59	0.54	0.033	0.223
1897	0.169	0.436	0.41	NA	0.262	0.173	NA	0.096	0.303	0.375	0.261	0.146
1898	0.143	0.39	0.409	NA	0.326	0.218	NA	0.096	0.206	0.205	0.239	0.178
1899	0.057	0.414	0.215	NA	0.206	0.165	NA	0.181	0.18	0.199	0.185	0.205
1900	0.215	0.557	0.515	NA	0.365	0.393	0.091	0.086	0.429	0.409	0.35	0.261
1901	0.199	0.628	0.593	NA	0.278	0.321	0.15	0.148	0.314	0.268	0.228	0.319
1902	0.27	0.667	0.776	NA	0.286	0.442	0.15	0.222	0.452	0.448	0.299	0.277
1903	0.071	0.587	0.626	NA	0.286	0.406	0.188	0.243	0.42	0.352	0.243	0.14
1904	0.087	0.452	0.561	NA	0.365	0.272	0.355	0.404	0.226	0.214	0.164	0.173
1905	0.286	0.549	0.802	NA	0.397	0.449	0.531	0.624	0.648	0.6	0.474	0.317
1906	0.183	0.778	0.877	NA	0.445	0.44	0.921	0.497	0.787	0.637	0.414	0.371
1907	0.127	0.588	0.493	NA	0.452	0.297	0.93	0.424	0.365	0.338	0.187	0.192
1908	0.103	0.675	0.428	NA	0.485	0.352	0.693	0.201	0.54	0.338	0.249	0.231
1909	0.222	0.7	0.544	NA	0.437	0.395	0.631	0.518	0.614	0.469	0.353	0.199
1910	0.143	0.548	0.375	NA	0.428	0.359	0.555	0.445	0.451	0.406	0.269	0.164
1911	0.183	0.534	0.59	NA	0.365	0.463	0.578	0.476	0.648	0.513	0.359	0.181
1912	0.198	0.517	0.695	NA	0.437	0.498	0.901	0.954	0.624	0.472	0.516	0.065
1913	0.167	0.605	0.414	NA	0.365	0.509	0.837	1.1	0.463	0.399	0.451	0.181
1914	0.166	0.517	0.642	NA	0.469	0.537	0.829	0.794	0.776	0.515	0.408	0.184
1915	0.405	0.661	1.068	NA	0.627	0.885	1.046	1.143	1.647	0.723	0.682	0.398
1916	0.175	0.791	0.971	NA	0.564	0.564	0.626	0.903	1.088	0.609	0.342	0.337
1917	0.27	0.853	0.665	NA	0.595	0.692	0.654	0.922	1.247	0.724	0.437	0.264
1918	0.19	0.738	0.393	NA	0.492	0.562	0.517	0.457	1.013	0.519	0.38	0.234
1919	0.088	0.636	0.375	NA	0.373	0.486	0.579	0.653	0.754	0.468	0.395	0.175
1920	0.055	0.581	0.213	NA	0.175	0.216	0.554	0.652	0.428	0.211	0.224	0.231
1921	0.111	0.682	0.365	NA	0.31	0.282	0.578	0.648	0.421	0.391	0.329	0.379
1922	0.119	0.756	0.437	NA	0.333	0.316	0.57	0.65	0.506	0.355	0.35	0.36
1923	0.159	0.692	0.386	NA	0.246	0.357	1.011	0.649	0.629	0.455	0.379	0.331
1924	0.199	0.819	0.65	NA	0.333	0.411	1.209	0.67	0.894	0.539	0.447	0.301
1925	0.222	0.66	0.549	NA	0.27	0.347	1.131	0.933	0.904	0.579	0.423	0.328
1926	0.381	0.777	0.858	NA	0.564	0.74	1.597	1.028	1.414	0.619	0.776	0.462
1927	0.23	0.667	0.533	NA	0.556	0.621	1.328	0.877	1.334	0.649	NA	0.362
1928	0.071	0.675	0.304	NA	0.571	0.385	1.222	1.08	1.102	0.569	NA	0.362
1929	0.119	0.762	0.247	NA	0.857	0.358	0.814	1.154	0.65	0.473	NA	0.481
1930	0.239	0.667	0.386	NA	0.675	NA	1.329	1.079	0.914	0.559	NA	0.352
1931	0.111	0.627	0.282	NA	0.866	NA	1.092	1.031	0.54	0.311	NA	0.353
1932	0.19	0.611	0.444	NA	0.598	NA	0.765	1.07	0.88	0.515	NA	0.153
1933	0.246	0.627	0.555	NA	0.328	NA	0.868	1.027	0.74	0.381	NA	0.285
1934	0.23	0.675	0.54	NA	0.375	NA	1.181	1.176	0.819	0.589	NA	0.189
1935	0.421	0.642	0.677	NA	0.247	NA	1.299	1.344	0.757	0.466	NA	0.224
1936	0.468	0.659	0.585	NA	0.303	NA	1.364	1.355	0.824	0.542	NA	0.317
1937	0.143	0.469	0.444	NA	0.184	NA	1.11	1.302	0.516	0.409	NA	0.143
1938	0.088	0.349	0.237	NA	0.216	NA	0.884	1.08	0.131	0.164	NA	0.125
1939	0.127	0.548	0.372	NA	0.485	NA	0.87	0.69	0.614	0.308	NA	0.27
1940	0.365	0.46	0.366	NA	0.471	NA	1.376	0.985	0.802	0.517	NA	0.31
1941	0.389	0.794	0.485	NA	0.578	NA	1.511	0.935	1.23	0.686	NA	0.577
1942	0.69	0.849	0.812	NA	0.8	NA	1.901	1.327	1.371	0.703	NA	0.723
1943	0.477	0.484	0.506	NA	0.456	NA	1.574	1.264	0.779	0.575	NA	0.361
1944	0.23	0.492	0.316	NA	0.382	NA	1.071	0.959	1.151	0.473	NA	0.317
1945	0.341	0.619	0.603	NA	0.462	NA	1.478	1.053	1.47	0.673	NA	0.435
1946	0.214	0.859	0.563	NA	0.342	NA	1.275	0.911	1.194	0.501	NA	0.589
1947	0.589	0.976	0.781	NA	0.271	NA	1.479	1.291	1.283	0.532	NA	0.691
1948	0.335	0.81	0.624	NA	0.263	NA	1.619	1.112	0.685	0.341	NA	0.442
1949	0.246	0.825	0.665	NA	0.392	NA	1.337	0.821	0.812	0.429	NA	0.6
1950	0.366	0.73	0.68	NA	0.359	NA	1.288	0.937	0.984	0.479	NA	0.318
1951	0.191	0.596	0.467	NA	0.216	NA	1.639	0.951	0.792	0.326	NA	0.148
1952	0.152	0.563	0.403	NA	0.168	NA	1.249	0.716	0.588	0.141	NA	0.09
1953	0.199	0.651	0.575	NA	0.274	NA	1.948	2.08	0.627	0.262	NA	0.153
1954	0.087	0.556	0.49	NA	0.088	NA	1.032	1.599	0.616	0.293	NA	0.016
1955	0.072	0.508	0.177	NA	0.161	NA	0.661	0.836	0.501	0.249	NA	0.169
1956	0.063	0.5	0.077	NA	0.08	NA	0.368	0.667	0.555	0.194	NA	0.057
1957	0.223	0.555	0.219	NA	0.265	NA	0.829	0.974	1.058	0.362	NA	0.266
1958	0.301	0.659	0.379	NA	0.385	NA	1.41	0.941	0.897	0.416	NA	0.197
1959	0.215	0.635	0.239	NA	0.215	NA	1.494	0.836	0.396	0.227	NA	0.156
1960	0.222	0.659	0.444	NA	0.369	NA	1.99	1.091	0.684	0.349	NA	0.143
1961	0.246	0.627	0.521	NA	0.409	NA	1.722	1.408	0.743	0.444	NA	0.279
1962	0.191	0.659	0.601	NA	0.592	NA	1.638	1.45	0.741	0.573	NA	0.336
1963	0.357	0.794	0.542	NA	0.632	NA	2.09	1.524	0.836	0.534	NA	0.238
1964	0.301	0.897	0.526	NA	0.392	NA	2.412	1.09	0.943	0.566	NA	0.342
1965	0.421	0.587	0.368	NA	0.367	NA	1.731	0.921	0.857	0.599	NA	0.236
1966	0.46	0.675	0.305	NA	0.302	NA	1.496	0.906	0.698	0.372	NA	0.217
1967	0.278	0.69	0.275	NA	0.272	NA	1.213	1.056	0.657	0.358	NA	0.195
1968	0.254	0.619	0.402	NA	0.504	NA	2.162	1.281	0.91	0.463	NA	0.158
1969	0.302	0.627	0.378	NA	0.584	NA	2.644	1.308	0.783	0.398	NA	0.258
1970	0.143	0.635	0.497	NA	0.663	NA	2.121	0.773	0.677	0.258	NA	0.304
1971	0.246	0.683	0.505	NA	0.315	NA	1.777	0.825	0.667	0.356	NA	0.343
1972	0.136	0.5	0.364	NA	0.201	NA	0.967	0.569	0.36	0.238	NA	0.158
1973	0.079	0.397	0.183	NA	0.121	NA	1.122	0.397	0.116	0.075	NA	0.078
1974	0.143	0.54	0.344	NA	0.235	NA	1.719	0.706	0.656	0.302	NA	0.345
1975	0.103	0.493	0.324	NA	0.374	NA	1.368	0.461	0.614	0.289	NA	0.387
1976	0.103	0.653	0.368	NA	0.283	NA	1.032	0.582	0.625	0.266	NA	0.467
1977	0.191	0.628	0.542	NA	0.413	NA	1.398	0.803	0.869	0.375	NA	0.441
1978	0.286	0.699	0.587	NA	0.564	NA	1.846	0.911	0.846	0.513	NA	0.49
1979	0.246	0.873	0.521	NA	0.456	NA	1.829	1.058	0.954	0.45	NA	0.397
1980	0.158	1.009	0.594	NA	0.435	NA	1.951	0.842	0.984	0.375	NA	0.304
1981	0.294	0.881	0.606	NA	0.506	NA	2.703	0.976	1.229	0.502	NA	0.531
1982	0.429	1.039	0.569	NA	0.624	NA	2.082	0.831	0.963	0.476	NA	0.472
1983	0.349	1.049	0.588	NA	0.559	NA	2.066	0.812	0.677	0.415	NA	0.602
1984	0.397	0.948	0.835	NA	0.66	NA	2.968	0.801	1.069	0.331	NA	0.705
1985	0.421	0.969	0.792	NA	0.709	NA	2.724	0.743	1.09	0.528	NA	0.686
1986	0.381	0.78	0.622	NA	0.45	NA	1.965	0.877	0.953	0.353	NA	0.652
1987	0.239	0.685	0.614	NA	0.418	NA	1.737	0.928	1.207	0.43	NA	0.493
1988	0.389	0.757	0.787	NA	0.74	NA	1.648	0.785	1.419	0.708	NA	0.584
1989	0.238	0.734	0.237	NA	0.523	NA	1.378	0.778	1.535	0.754	NA	0.419
1990	0.23	0.969	0.728	NA	0.602	NA	1.788	0.915	1.27	0.519	NA	0.617
1991	0.414	0.891	0.941	NA	0.657	NA	1.903	0.844	0.984	0.332	NA	0.606
1992	0.333	1.12	1.079	NA	0.803	NA	1.83	0.877	1.312	0.601	NA	0.619
1993	0.302	1.018	0.93	NA	0.497	NA	1.55	0.597	0.805	0.732	NA	0.598
1994	0.445	0.818	1.2	NA	0.622	NA	1.759	0.574	0.815	0.496	NA	0.693
1995	0.454	0.833	1.28	NA	0.699	NA	2.316	0.541	1.111	0.393	NA	0.776
1996	0.595	1.017	1.167	NA	0.583	NA	3.109	0.659	1.577	0.614	NA	0.952
1997	0.508	0.986	1.126	NA	0.467	NA	2.736	0.593	0.984	0.476	NA	0.566
1998	0.342	0.801	1.256	NA	0.893	NA	2.637	0.521	0.73	0.239	NA	0.516
1999	0.461	1.001	1.239	NA	0.811	NA	2.502	0.374	0.974	0.431	NA	0.572
2000	0.556	1.238	1.181	NA	0.759	NA	1.715	0.274	0.603	0.237	NA	0.635
2001	0.557	1.19	1.235	NA	1.091	NA	2.586	0.433	1.397	0.54	NA	0.616
2002	0.651	1.064	1.013	NA	0.878	NA	2.239	0.403	1.609	0.588	NA	0.758
2003	0.627	0.968	1.014	NA	0.837	NA	3.751	0.742	2.413	0.742	NA	0.471
2004	0.699	1.159	1.361	NA	1.245	NA	4.215	0.647	2.455	0.806	NA	0.502
2005	0.667	1.5	1.424	NA	1.212	NA	3.562	0.499	1.302	0.773	NA	0.966
2006	0.365	1.31	1.319	NA	0.955	NA	2.857	0.403	1.433	0.764	NA	0.688
2007	0.508	1.23	1.042	NA	0.562	NA	2.286	0.374	1.634	0.667	NA	0.563
2008	0.365	1.088	0.99	NA	0.386	NA	1.492	0.371	1.73	0.902	NA	0.804
2009	0.556	1.318	1.12	NA	0.56	NA	2.033	0.488	2.26	0.953	NA	0.883
2010	0.587	1.127	1.105	NA	0.633	NA	1.665	0.37	1.359	0.996	NA	0.72
2011	0.477	1.032	0.846	NA	0.601	NA	1.864	0.341	1.114	0.849	NA	0.598
2012	0.341	1.016	0.928	NA	0.816	NA	NA	0.091	2.006	0.956	NA	0.431
2013	0.548	1.095	0.936	NA	0.681	NA	NA	0.184	1.592	0.754	NA	0.398
2014	0.27	0.675	0.587	NA	0.298	NA	NA	0.138	1.38	0.318	NA	0.282
